,intelligent,arrogant,nerdy,kind,loud,careful,argumentative,persuasive,immature,active,funny,disorganized,dishonest,gentle,sensitive,creative,helpful,strong,brave,bossy,unconventional,quiet,organized,reliable,ambitious,charming,confident,efficient,friendly,generous,naive,witty,empathetic,stubborn,trustworthy,meticulous,inventive,charismatic,reserved,altruistic,original,impulsive,zealous,rational,idealistic,conservative,solitary,passionate,adventurous,cautious,extravagant,jovial,cooperative,attractive,muscular,shy,social,warm,moody,lazy,hardworking,imaginative,narrow-minded,boring,selfish,narcissistic
architect,90.0,69.52380952380952,61.904761904761905,55.23809523809524,19.52380952380953,81.42857142857143,38.57142857142857,60.476190476190474,10.0,70.0,20.0,19.047619047619047,10.238095238095235,40.0,39.523809523809526,90.0,80.0,70.95238095238095,35.23809523809524,38.095238095238095,70.47619047619048,62.857142857142854,90.0,82.61904761904762,83.80952380952381,61.904761904761905,80.0,80.23809523809524,60.95238095238095,40.0,19.047619047619047,60.95238095238095,40.0,40.0,80.0,87.61904761904762,87.33333333333333,70.0,68.57142857142857,40.0,80.47619047619048,20.0,69.52380952380952,86.42857142857143,80.0,40.0,40.0,80.0,58.095238095238095,74.28571428571429,68.57142857142857,40.0,70.95238095238095,41.904761904761905,20.0,22.38095238095238,40.0,20.952380952380953,40.0,10.0,87.38095238095238,83.76190476190476,20.0,37.61904761904762,36.666666666666664,68.42857142857143
librarian,90.0,19.52380952380953,80.0,82.38095238095238,0.0,89.04761904761905,20.0,21.904761904761905,8.80952380952381,20.0,20.0,0.9523809523809524,1.1904761904761905,80.71428571428571,80.0,27.142857142857142,90.0,20.0,20.0,70.0,24.761904761904763,88.66666666666667,90.47619047619048,90.0,24.285714285714285,50.95238095238095,20.0,80.0,80.0,70.47619047619048,71.42857142857143,21.904761904761905,80.0,70.0,90.0,89.38095238095238,34.285714285714285,20.0,80.33333333333333,80.0,24.761904761904763,11.904761904761903,22.857142857142858,80.47619047619048,70.0,75.71428571428571,80.0,20.0,20.0,80.0,9.761904761904765,20.47619047619047,87.61904761904762,20.0,9.523809523809524,80.0,20.952380952380953,75.61904761904762,70.0,29.52380952380953,88.57142857142857,46.666666666666664,69.38095238095238,80.0,11.19047619047619,5.0
lab technician,81.19047619047619,20.0,80.0,70.95238095238095,15.952380952380953,89.52380952380952,20.0,20.0,15.238095238095235,73.33333333333333,20.0,20.0,9.285714285714286,68.0952380952381,40.0,30.952380952380953,80.47619047619048,40.0,20.0,20.0,22.857142857142858,77.14285714285714,90.0,88.57142857142857,70.0,20.0,64.76190476190476,81.9047619047619,69.52380952380952,38.57142857142857,21.904761904761905,21.428571428571427,47.61904761904762,30.47619047619047,81.9047619047619,89.76190476190476,73.80952380952381,20.0,69.52380952380952,69.52380952380952,29.52380952380953,20.0,69.04761904761905,85.57142857142857,37.61904761904762,30.0,62.38095238095238,40.0,20.0,80.0,10.476190476190476,28.095238095238095,80.0,36.666666666666664,20.0,61.904761904761905,20.47619047619047,36.666666666666664,20.0,8.333333333333334,88.19047619047619,34.76190476190476,20.0,69.85714285714286,19.047619047619047,5.476190476190476
artist,78.57142857142857,70.47619047619048,20.0,70.0,70.0,32.38095238095238,70.0,40.0,57.142857142857146,78.57142857142857,70.47619047619048,80.0,20.0,72.38095238095238,80.0,95.0,40.0,37.142857142857146,68.57142857142857,20.47619047619047,81.19047619047619,65.23809523809524,20.0,20.0,65.23809523809524,80.0,80.0,20.0,70.47619047619048,66.66666666666667,70.0,80.0,80.0,70.47619047619048,38.095238095238095,39.523809523809526,89.28571428571429,80.0,36.666666666666664,56.666666666666664,87.28571428571429,80.0,80.0,20.0,80.0,19.52380952380953,80.0,88.57142857142857,80.0,20.0,80.0,70.0,40.0,68.57142857142857,20.0,70.0,43.80952380952381,79.52380952380952,80.0,60.95238095238095,40.0,91.42857142857144,12.38095238095238,19.52380952380953,67.61904761904762,70.0
consultant,86.9047619047619,70.23809523809524,37.142857142857146,39.04761904761905,20.0,80.0,40.0,80.0,25.238095238095237,80.0,20.0,20.0,47.61904761904762,25.238095238095237,20.47619047619047,57.142857142857146,80.71428571428571,67.61904761904762,20.0,66.66666666666667,22.857142857142858,40.0,88.80952380952381,80.0,85.28571428571429,64.28571428571429,80.23809523809524,81.19047619047619,57.142857142857146,25.714285714285715,20.0,60.95238095238095,40.0,40.95238095238095,60.476190476190474,80.95238095238095,80.0,80.0,69.04761904761905,20.0,21.904761904761905,20.0,69.04761904761905,82.38095238095238,38.57142857142857,49.523809523809526,37.142857142857146,40.0,38.57142857142857,78.0952380952381,61.904761904761905,40.0,80.0,40.0,20.0,20.0,58.095238095238095,20.0,20.0,20.0,84.28571428571429,40.0,33.333333333333336,69.61904761904762,68.80952380952381,69.42857142857143
scientist,95.0,42.857142857142854,80.0,40.95238095238095,11.428571428571429,85.23809523809524,37.142857142857146,40.0,10.0,78.0952380952381,20.0,20.0,6.428571428571429,26.666666666666668,22.38095238095238,41.904761904761905,80.0,49.523809523809526,40.0,20.0,53.333333333333336,70.0,81.9047619047619,89.76190476190476,84.28571428571429,20.0,80.0,80.47619047619048,40.0,39.04761904761905,20.0,39.04761904761905,34.76190476190476,40.0,85.0,88.80952380952381,87.85714285714286,20.0,72.38095238095238,68.0952380952381,79.52380952380952,20.0,76.66666666666667,93.8095238095238,69.52380952380952,20.0,77.61904761904762,60.95238095238095,40.0,80.0,19.047619047619047,20.0,77.14285714285714,20.0,19.52380952380953,48.57142857142857,20.0,20.0,35.23809523809524,2.380952380952381,89.76190476190476,56.666666666666664,18.095238095238095,68.0952380952381,20.0,20.0
nanny,47.61904761904762,10.476190476190476,5.714285714285714,90.47619047619048,20.0,90.23809523809524,20.0,40.0,20.0,80.0,40.0,20.0,14.285714285714286,90.0,81.66666666666667,60.95238095238095,91.66666666666669,40.0,21.904761904761905,78.42857142857143,20.0,79.52380952380952,89.28571428571429,89.52380952380952,27.142857142857142,80.0,52.38095238095238,79.04761904761905,89.76190476190476,80.0,70.95238095238095,40.0,89.76190476190476,69.52380952380952,89.52380952380952,82.61904761904762,40.95238095238095,39.523809523809526,80.0,88.57142857142857,20.952380952380953,20.0,40.0,40.0,68.0952380952381,20.0,20.0,80.0,20.0,80.95238095238095,20.0,80.0,90.0,40.95238095238095,9.523809523809524,70.47619047619048,82.71428571428571,89.61904761904762,23.80952380952381,20.0,86.9047619047619,70.0,20.0,50.0,16.19047619047619,5.0
boxer,27.61904761904762,70.0,5.238095238095238,20.47619047619047,80.0,20.0,80.0,30.0,43.80952380952381,95.0,21.428571428571427,23.80952380952381,20.47619047619047,12.857142857142858,19.52380952380953,20.0,29.52380952380953,95.0,90.71428571428572,14.761904761904765,55.23809523809524,19.52380952380953,39.523809523809526,64.28571428571429,89.52380952380952,31.904761904761905,89.04761904761905,80.0,40.476190476190474,21.428571428571427,16.666666666666668,20.0,20.0,80.0,41.42857142857143,20.0,33.333333333333336,80.0,20.0,20.0,35.714285714285715,80.0,80.71428571428571,20.952380952380953,20.0,20.0,20.47619047619047,87.38095238095238,80.0,20.0,20.0,38.095238095238095,36.19047619047619,77.14285714285714,90.23809523809524,8.571428571428571,20.0,22.857142857142858,60.476190476190474,0.0,90.0,20.0,20.0,9.761904761904765,39.523809523809526,60.95238095238095
paramedic,80.0,20.0,19.52380952380953,90.0,41.42857142857143,90.0,20.0,40.0,10.0,91.66666666666669,20.47619047619047,19.047619047619047,5.0,77.14285714285714,78.0952380952381,39.04761904761905,95.0,84.04761904761905,90.0,20.0,35.23809523809524,20.0,89.76190476190476,91.1904761904762,80.0,61.42857142857143,83.33333333333333,86.66666666666667,87.95238095238095,81.42857142857143,20.0,38.095238095238095,88.33333333333333,42.38095238095238,89.76190476190476,88.19047619047619,70.47619047619048,70.95238095238095,23.80952380952381,90.23809523809524,39.04761904761905,79.04761904761905,80.71428571428571,80.95238095238095,72.85714285714286,20.0,20.0,84.28571428571429,80.0,79.04761904761905,16.666666666666668,68.57142857142857,89.76190476190476,40.95238095238095,80.0,20.0,80.47619047619048,80.0,20.952380952380953,0.238095238095238,92.61904761904762,40.0,9.047619047619047,20.0,5.0,7.619047619047619
businessman,80.47619047619048,70.47619047619048,20.0,20.0,33.333333333333336,77.61904761904762,70.47619047619048,80.47619047619048,20.0,83.33333333333333,20.0,20.0,60.333333333333336,20.0,20.0,37.61904761904762,40.0,80.47619047619048,49.523809523809526,46.19047619047619,20.0,20.0,88.33333333333333,80.0,88.80952380952381,62.38095238095238,83.80952380952381,81.9047619047619,38.57142857142857,24.761904761904763,0.4761904761904761,48.095238095238095,20.0,70.95238095238095,40.0,80.0,80.0,80.0,70.0,20.0,21.428571428571427,67.61904761904762,80.0,80.71428571428571,20.0,80.0,25.238095238095237,77.61904761904762,39.04761904761905,67.14285714285714,79.04761904761905,40.95238095238095,40.0,43.80952380952381,40.0,19.047619047619047,44.76190476190476,20.0,24.285714285714285,15.238095238095235,87.95238095238095,34.285714285714285,60.666666666666664,66.66666666666667,70.47619047619048,69.71428571428571
secretary,56.19047619047619,12.61904761904762,20.0,80.0,19.52380952380953,80.0,20.0,40.0,20.0,40.0,20.0,20.0,7.380952380952381,79.52380952380952,76.19047619047619,30.952380952380953,86.42857142857143,20.47619047619047,20.0,71.9047619047619,20.0,80.0,90.23809523809524,83.42857142857143,40.95238095238095,76.66666666666667,45.23809523809524,80.0,80.0,66.19047619047619,67.47619047619048,40.95238095238095,80.0,42.38095238095238,80.0,80.71428571428571,35.714285714285715,37.61904761904762,78.0952380952381,70.0,20.0,20.0,22.857142857142858,67.61904761904762,35.23809523809524,68.57142857142857,20.0,40.95238095238095,20.0,80.0,20.0,47.61904761904762,82.38095238095238,69.04761904761905,11.904761904761903,73.33333333333333,80.0,78.0952380952381,39.04761904761905,20.47619047619047,80.71428571428571,32.38095238095238,20.47619047619047,70.0,20.0,5.714285714285714
executive manager,90.0,77.61904761904762,15.714285714285714,20.952380952380953,20.0,80.0,68.57142857142857,84.28571428571429,10.0,89.28571428571429,20.0,10.476190476190476,59.38095238095238,20.0,20.0,39.523809523809526,44.76190476190476,83.0952380952381,63.80952380952381,79.52380952380952,20.0,20.952380952380953,90.0,83.0952380952381,91.66666666666669,72.38095238095238,89.28571428571429,89.52380952380952,39.523809523809526,40.0,8.571428571428571,62.857142857142854,21.904761904761905,75.23809523809524,76.66666666666667,84.28571428571429,80.0,82.38095238095238,80.0,20.0,37.142857142857146,32.38095238095238,80.0,86.66666666666667,29.047619047619047,80.0,22.38095238095238,80.0,33.80952380952381,78.57142857142857,80.0,40.0,58.57142857142857,74.28571428571429,40.0,17.142857142857142,45.714285714285715,20.0,33.333333333333336,4.523809523809524,90.0,40.0,40.0,61.904761904761905,70.47619047619048,71.28571428571429
assistant,90.0,25.238095238095237,80.0,80.0,0.0,80.0,20.47619047619047,80.0,19.52380952380953,80.47619047619048,20.952380952380953,12.857142857142858,1.4285714285714286,79.52380952380952,40.95238095238095,79.04761904761905,95.47619047619048,41.42857142857143,20.952380952380953,63.333333333333336,38.095238095238095,80.0,90.0,90.0,81.42857142857143,74.76190476190476,80.47619047619048,89.04761904761905,86.19047619047619,59.04761904761905,62.38095238095238,80.0,80.47619047619048,20.0,83.80952380952381,86.66666666666667,83.33333333333333,46.19047619047619,80.0,80.47619047619048,40.0,20.0,70.95238095238095,90.0,72.85714285714286,20.0,40.0,39.523809523809526,20.47619047619047,80.0,19.52380952380953,40.0,89.52380952380952,20.0,4.523809523809524,26.19047619047619,38.095238095238095,40.0,17.142857142857142,0.0,88.0952380952381,80.0,14.285714285714286,64.28571428571429,19.047619047619047,19.047619047619047
nurse,80.0,9.761904761904765,19.52380952380953,91.66666666666669,20.0,90.47619047619048,20.0,50.476190476190474,8.571428571428571,84.61904761904762,30.952380952380953,9.047619047619047,1.1904761904761905,89.52380952380952,82.85714285714286,37.142857142857146,94.76190476190476,65.71428571428571,80.0,70.47619047619048,20.0,80.0,90.0,93.0952380952381,58.095238095238095,80.0,80.0,84.28571428571429,90.0,89.04761904761905,70.0,39.523809523809526,92.71428571428572,55.23809523809524,93.8095238095238,89.76190476190476,40.0,73.80952380952381,79.04761904761905,91.1904761904762,30.0,20.0,80.0,78.57142857142857,80.0,24.285714285714285,20.0,86.9047619047619,25.238095238095237,80.47619047619048,16.666666666666668,80.0,90.23809523809524,70.47619047619048,20.0,77.61904761904762,89.85714285714286,90.0,20.0,0.0,94.28571428571428,39.04761904761905,9.761904761904765,20.47619047619047,0.7142857142857143,5.0
writer,89.14285714285714,64.28571428571429,71.42857142857143,65.71428571428571,15.238095238095235,80.0,69.52380952380952,80.0,20.0,40.0,40.0,69.52380952380952,17.142857142857142,70.0,80.0,90.0,70.95238095238095,40.0,40.0,21.904761904761905,80.0,80.0,68.57142857142857,62.38095238095238,80.0,70.95238095238095,73.33333333333333,40.0,52.38095238095238,40.0,39.523809523809526,80.0,80.0,70.0,67.61904761904762,80.47619047619048,83.28571428571429,69.04761904761905,80.0,40.0,80.0,63.80952380952381,71.9047619047619,76.66666666666667,80.0,20.0,80.0,82.14285714285714,70.95238095238095,68.57142857142857,32.857142857142854,40.0,40.0,38.57142857142857,19.52380952380953,76.19047619047619,20.47619047619047,40.0,80.0,36.19047619047619,80.0,89.52380952380952,20.0,56.666666666666664,41.904761904761905,69.38095238095238
telemarketer,20.0,71.71428571428571,10.952380952380953,11.428571428571429,80.0,20.0,78.76190476190476,80.23809523809524,67.04761904761905,70.95238095238095,9.761904761904765,45.23809523809524,78.57142857142857,7.857142857142857,9.523809523809524,20.0,10.476190476190476,20.0,18.095238095238095,74.0,20.0,0.0,20.0,12.38095238095238,73.80952380952381,20.0,51.42857142857143,20.0,20.0,7.619047619047619,20.0,18.571428571428573,10.952380952380953,78.47619047619048,10.476190476190476,20.0,20.0,20.0,12.857142857142858,5.0,10.0,69.52380952380952,80.23809523809524,20.0,10.0,20.0,20.0,20.0,12.857142857142858,19.52380952380953,16.19047619047619,17.61904761904762,20.0,20.0,10.476190476190476,1.1904761904761905,40.95238095238095,20.0,20.0,67.61904761904762,20.0,20.0,69.23809523809524,79.19047619047619,80.0,67.57142857142857
clown,20.0,20.0,1.4285714285714286,76.19047619047619,80.80952380952381,20.0,20.0,20.0,80.0,88.33333333333333,99.61904761904762,79.52380952380952,20.0,20.47619047619047,20.0,87.23809523809524,56.666666666666664,20.0,20.0,11.428571428571429,86.52380952380952,0.0,20.0,20.0,20.0,80.47619047619048,39.04761904761905,19.52380952380953,85.0952380952381,70.0,72.85714285714286,80.71428571428571,40.95238095238095,25.714285714285715,20.0,16.19047619047619,80.0,80.0,0.0,62.38095238095238,45.23809523809524,80.47619047619048,70.47619047619048,15.238095238095235,24.285714285714285,0.0,13.80952380952381,80.0,69.04761904761905,15.714285714285714,80.47619047619048,92.71428571428572,56.666666666666664,20.0,18.571428571428573,0.0,84.28571428571429,79.52380952380952,30.0,20.0,21.904761904761905,83.80952380952381,1.1904761904761905,0.0,20.0,40.476190476190474
fireman,60.0,20.0,5.238095238095238,83.57142857142857,75.23809523809524,80.0,20.0,37.61904761904762,10.0,91.42857142857144,20.0,10.714285714285714,1.4285714285714286,20.0,20.0,20.47619047619047,91.9047619047619,92.38095238095238,94.76190476190476,20.0,20.0,20.0,80.0,90.71428571428572,80.0,75.71428571428571,86.76190476190476,80.0,81.66666666666667,80.0,12.142857142857142,20.0,79.52380952380952,68.57142857142857,89.76190476190476,51.42857142857143,40.95238095238095,80.0,20.0,90.0,21.904761904761905,62.38095238095238,80.0,75.23809523809524,43.333333333333336,79.04761904761905,19.047619047619047,83.19047619047619,80.0,21.428571428571427,13.80952380952381,80.0,88.66666666666667,79.52380952380952,85.19047619047619,9.285714285714286,39.523809523809526,50.95238095238095,20.0,0.0,90.47619047619048,21.428571428571427,10.952380952380953,9.285714285714286,0.9523809523809524,8.333333333333334
pianist,84.57142857142857,44.285714285714285,79.52380952380952,70.0,37.142857142857146,80.47619047619048,20.0,25.714285714285715,12.857142857142858,40.95238095238095,20.0,20.0,0.9523809523809524,79.52380952380952,79.52380952380952,89.14285714285714,47.142857142857146,20.952380952380953,20.0,20.0,42.857142857142854,79.52380952380952,80.0,76.19047619047619,80.0,76.66666666666667,80.0,70.47619047619048,62.38095238095238,39.04761904761905,37.61904761904762,52.857142857142854,64.28571428571429,39.04761904761905,71.9047619047619,81.76190476190476,80.0,68.0952380952381,79.52380952380952,40.0,44.76190476190476,20.47619047619047,69.04761904761905,78.57142857142857,70.0,26.19047619047619,79.52380952380952,81.76190476190476,20.0,70.0,46.19047619047619,40.0,57.142857142857146,39.04761904761905,18.095238095238095,71.9047619047619,24.285714285714285,40.0,76.19047619047619,8.80952380952381,81.42857142857143,80.0,19.52380952380953,69.38095238095238,20.0,37.61904761904762
doctor,95.28571428571428,60.80952380952381,69.04761904761905,82.14285714285714,14.285714285714286,90.0,27.61904761904762,80.0,7.142857142857143,80.47619047619048,20.0,10.476190476190476,4.761904761904762,79.52380952380952,54.285714285714285,35.23809523809524,93.38095238095238,80.0,80.0,37.61904761904762,20.0,58.57142857142857,90.0,92.61904761904762,90.0,63.80952380952381,86.66666666666667,83.0952380952381,80.0,80.0,9.761904761904765,40.0,86.19047619047619,40.0,91.1904761904762,90.0,75.71428571428571,71.9047619047619,69.04761904761905,89.76190476190476,39.04761904761905,20.0,79.04761904761905,90.0,70.95238095238095,40.0,20.0,80.0,29.52380952380953,80.0,20.952380952380953,43.80952380952381,85.71428571428571,40.0,20.47619047619047,20.0,43.80952380952381,71.9047619047619,20.0,1.1904761904761905,91.66666666666669,40.0,17.61904761904762,22.38095238095238,18.571428571428573,40.0
hippy,38.57142857142857,20.0,5.714285714285714,80.0,53.333333333333336,20.0,20.47619047619047,20.0,70.0,49.04761904761905,70.0,80.0,20.0,80.0,80.0,84.76190476190476,70.95238095238095,20.0,40.0,13.80952380952381,91.8095238095238,20.0,20.0,20.0,20.0,72.85714285714286,30.47619047619047,19.52380952380953,80.47619047619048,80.0,80.0,39.523809523809526,80.0,30.47619047619047,34.285714285714285,20.0,80.0,79.52380952380952,20.0,80.0,80.47619047619048,80.0,70.0,20.0,85.66666666666667,0.0,20.0,81.66666666666667,80.95238095238095,20.0,35.23809523809524,80.0,80.0,27.61904761904762,10.476190476190476,20.0,80.0,80.0,77.14285714285714,73.80952380952381,20.0,80.95238095238095,3.8095238095238098,18.571428571428573,20.0,16.19047619047619
