group,intelligent,arrogant,nerdy,kind,loud,careful,argumentative,persuasive,immature,active,funny,disorganized,dishonest,gentle,sensitive,creative,helpful,strong,brave,bossy,unconventional,quiet,organized,reliable,ambitious,charming,confident,efficient,friendly,generous,naive,witty,empathetic,stubborn,trustworthy,meticulous,inventive,charismatic,reserved,altruistic,original,impulsive,zealous,rational,idealistic,conservative,solitary,passionate,adventurous,cautious,extravagant,jovial,cooperative,attractive,muscular,shy,social,warm,moody,lazy,hardworking,imaginative,narrow-minded,boring,selfish,narcissistic
architect,90,69.52380952380952,61.904761904761905,55.23809523809524,19.52380952380953,81.42857142857143,38.57142857142857,60.476190476190474,10,70,20,19.047619047619047,10.238095238095235,40,39.523809523809526,90,80,70.95238095238095,35.23809523809524,38.095238095238095,70.47619047619048,62.857142857142854,90,82.61904761904762,83.80952380952381,61.904761904761905,80,80.23809523809524,60.95238095238095,40,19.047619047619047,60.95238095238095,40,40,80,87.61904761904762,87.33333333333333,70,68.57142857142857,40,80.47619047619048,20,69.52380952380952,86.42857142857143,80,40,40,80,58.095238095238095,74.28571428571429,68.57142857142857,40,70.95238095238095,41.904761904761905,20,22.38095238095238,40,20.952380952380953,40,10,87.38095238095238,83.76190476190476,20,37.61904761904762,36.666666666666664,68.42857142857143
librarian,90,19.52380952380953,80,82.38095238095238,0,89.04761904761905,20,21.904761904761905,8.80952380952381,20,20,0.9523809523809524,1.1904761904761905,80.71428571428571,80,27.142857142857142,90,20,20,70,24.761904761904763,88.66666666666667,90.47619047619048,90,24.285714285714285,50.95238095238095,20,80,80,70.47619047619048,71.42857142857143,21.904761904761905,80,70,90,89.38095238095238,34.285714285714285,20,80.33333333333333,80,24.761904761904763,11.904761904761903,22.857142857142858,80.47619047619048,70,75.71428571428571,80,20,20,80,9.761904761904765,20.47619047619047,87.61904761904762,20,9.523809523809524,80,20.952380952380953,75.61904761904762,70,29.52380952380953,88.57142857142857,46.666666666666664,69.38095238095238,80,11.19047619047619,5
lab technician,81.19047619047619,20,80,70.95238095238095,15.952380952380953,89.52380952380952,20,20,15.238095238095235,73.33333333333333,20,20,9.285714285714286,68.0952380952381,40,30.952380952380953,80.47619047619048,40,20,20,22.857142857142858,77.14285714285714,90,88.57142857142857,70,20,64.76190476190476,81.9047619047619,69.52380952380952,38.57142857142857,21.904761904761905,21.428571428571427,47.61904761904762,30.47619047619047,81.9047619047619,89.76190476190476,73.80952380952381,20,69.52380952380952,69.52380952380952,29.52380952380953,20,69.04761904761905,85.57142857142857,37.61904761904762,30,62.38095238095238,40,20,80,10.476190476190476,28.095238095238095,80,36.666666666666664,20,61.904761904761905,20.47619047619047,36.666666666666664,20,8.333333333333334,88.19047619047619,34.76190476190476,20,69.85714285714286,19.047619047619047,5.476190476190476
artist,78.57142857142857,70.47619047619048,20,70,70,32.38095238095238,70,40,57.142857142857146,78.57142857142857,70.47619047619048,80,20,72.38095238095238,80,95,40,37.142857142857146,68.57142857142857,20.47619047619047,81.19047619047619,65.23809523809524,20,20,65.23809523809524,80,80,20,70.47619047619048,66.66666666666667,70,80,80,70.47619047619048,38.095238095238095,39.523809523809526,89.28571428571429,80,36.666666666666664,56.666666666666664,87.28571428571429,80,80,20,80,19.52380952380953,80,88.57142857142857,80,20,80,70,40,68.57142857142857,20,70,43.80952380952381,79.52380952380952,80,60.95238095238095,40,91.42857142857144,12.38095238095238,19.52380952380953,67.61904761904762,70
consultant,86.9047619047619,70.23809523809524,37.142857142857146,39.04761904761905,20,80,40,80,25.238095238095237,80,20,20,47.61904761904762,25.238095238095237,20.47619047619047,57.142857142857146,80.71428571428571,67.61904761904762,20,66.66666666666667,22.857142857142858,40,88.80952380952381,80,85.28571428571429,64.28571428571429,80.23809523809524,81.19047619047619,57.142857142857146,25.714285714285715,20,60.95238095238095,40,40.95238095238095,60.476190476190474,80.95238095238095,80,80,69.04761904761905,20,21.904761904761905,20,69.04761904761905,82.38095238095238,38.57142857142857,49.523809523809526,37.142857142857146,40,38.57142857142857,78.0952380952381,61.904761904761905,40,80,40,20,20,58.095238095238095,20,20,20,84.28571428571429,40,33.333333333333336,69.61904761904762,68.80952380952381,69.42857142857143
scientist,95,42.857142857142854,80,40.95238095238095,11.428571428571429,85.23809523809524,37.142857142857146,40,10,78.0952380952381,20,20,6.428571428571429,26.666666666666668,22.38095238095238,41.904761904761905,80,49.523809523809526,40,20,53.333333333333336,70,81.9047619047619,89.76190476190476,84.28571428571429,20,80,80.47619047619048,40,39.04761904761905,20,39.04761904761905,34.76190476190476,40,85,88.80952380952381,87.85714285714286,20,72.38095238095238,68.0952380952381,79.52380952380952,20,76.66666666666667,93.8095238095238,69.52380952380952,20,77.61904761904762,60.95238095238095,40,80,19.047619047619047,20,77.14285714285714,20,19.52380952380953,48.57142857142857,20,20,35.23809523809524,2.380952380952381,89.76190476190476,56.666666666666664,18.095238095238095,68.0952380952381,20,20
nanny,47.61904761904762,10.476190476190476,5.714285714285714,90.47619047619048,20,90.23809523809524,20,40,20,80,40,20,14.285714285714286,90,81.66666666666667,60.95238095238095,91.66666666666669,40,21.904761904761905,78.42857142857143,20,79.52380952380952,89.28571428571429,89.52380952380952,27.142857142857142,80,52.38095238095238,79.04761904761905,89.76190476190476,80,70.95238095238095,40,89.76190476190476,69.52380952380952,89.52380952380952,82.61904761904762,40.95238095238095,39.523809523809526,80,88.57142857142857,20.952380952380953,20,40,40,68.0952380952381,20,20,80,20,80.95238095238095,20,80,90,40.95238095238095,9.523809523809524,70.47619047619048,82.71428571428571,89.61904761904762,23.80952380952381,20,86.9047619047619,70,20,50,16.19047619047619,5
boxer,27.61904761904762,70,5.238095238095238,20.47619047619047,80,20,80,30,43.80952380952381,95,21.428571428571427,23.80952380952381,20.47619047619047,12.857142857142858,19.52380952380953,20,29.52380952380953,95,90.71428571428572,14.761904761904765,55.23809523809524,19.52380952380953,39.523809523809526,64.28571428571429,89.52380952380952,31.904761904761905,89.04761904761905,80,40.476190476190474,21.428571428571427,16.666666666666668,20,20,80,41.42857142857143,20,33.333333333333336,80,20,20,35.714285714285715,80,80.71428571428571,20.952380952380953,20,20,20.47619047619047,87.38095238095238,80,20,20,38.095238095238095,36.19047619047619,77.14285714285714,90.23809523809524,8.571428571428571,20,22.857142857142858,60.476190476190474,0,90,20,20,9.761904761904765,39.523809523809526,60.95238095238095
paramedic,80,20,19.52380952380953,90,41.42857142857143,90,20,40,10,91.66666666666669,20.47619047619047,19.047619047619047,5,77.14285714285714,78.0952380952381,39.04761904761905,95,84.04761904761905,90,20,35.23809523809524,20,89.76190476190476,91.1904761904762,80,61.42857142857143,83.33333333333333,86.66666666666667,87.95238095238095,81.42857142857143,20,38.095238095238095,88.33333333333333,42.38095238095238,89.76190476190476,88.19047619047619,70.47619047619048,70.95238095238095,23.80952380952381,90.23809523809524,39.04761904761905,79.04761904761905,80.71428571428571,80.95238095238095,72.85714285714286,20,20,84.28571428571429,80,79.04761904761905,16.666666666666668,68.57142857142857,89.76190476190476,40.95238095238095,80,20,80.47619047619048,80,20.952380952380953,0.238095238095238,92.61904761904762,40,9.047619047619047,20,5,7.619047619047619
businessman,80.47619047619048,70.47619047619048,20,20,33.333333333333336,77.61904761904762,70.47619047619048,80.47619047619048,20,83.33333333333333,20,20,60.333333333333336,20,20,37.61904761904762,40,80.47619047619048,49.523809523809526,46.19047619047619,20,20,88.33333333333333,80,88.80952380952381,62.38095238095238,83.80952380952381,81.9047619047619,38.57142857142857,24.761904761904763,0.4761904761904761,48.095238095238095,20,70.95238095238095,40,80,80,80,70,20,21.428571428571427,67.61904761904762,80,80.71428571428571,20,80,25.238095238095237,77.61904761904762,39.04761904761905,67.14285714285714,79.04761904761905,40.95238095238095,40,43.80952380952381,40,19.047619047619047,44.76190476190476,20,24.285714285714285,15.238095238095235,87.95238095238095,34.285714285714285,60.666666666666664,66.66666666666667,70.47619047619048,69.71428571428571
secretary,56.19047619047619,12.61904761904762,20,80,19.52380952380953,80,20,40,20,40,20,20,7.380952380952381,79.52380952380952,76.19047619047619,30.952380952380953,86.42857142857143,20.47619047619047,20,71.9047619047619,20,80,90.23809523809524,83.42857142857143,40.95238095238095,76.66666666666667,45.23809523809524,80,80,66.19047619047619,67.47619047619048,40.95238095238095,80,42.38095238095238,80,80.71428571428571,35.714285714285715,37.61904761904762,78.0952380952381,70,20,20,22.857142857142858,67.61904761904762,35.23809523809524,68.57142857142857,20,40.95238095238095,20,80,20,47.61904761904762,82.38095238095238,69.04761904761905,11.904761904761903,73.33333333333333,80,78.0952380952381,39.04761904761905,20.47619047619047,80.71428571428571,32.38095238095238,20.47619047619047,70,20,5.714285714285714
executive manager,90,77.61904761904762,15.714285714285714,20.952380952380953,20,80,68.57142857142857,84.28571428571429,10,89.28571428571429,20,10.476190476190476,59.38095238095238,20,20,39.523809523809526,44.76190476190476,83.0952380952381,63.80952380952381,79.52380952380952,20,20.952380952380953,90,83.0952380952381,91.66666666666669,72.38095238095238,89.28571428571429,89.52380952380952,39.523809523809526,40,8.571428571428571,62.857142857142854,21.904761904761905,75.23809523809524,76.66666666666667,84.28571428571429,80,82.38095238095238,80,20,37.142857142857146,32.38095238095238,80,86.66666666666667,29.047619047619047,80,22.38095238095238,80,33.80952380952381,78.57142857142857,80,40,58.57142857142857,74.28571428571429,40,17.142857142857142,45.714285714285715,20,33.333333333333336,4.523809523809524,90,40,40,61.904761904761905,70.47619047619048,71.28571428571429
assistant,90,25.238095238095237,80,80,0,80,20.47619047619047,80,19.52380952380953,80.47619047619048,20.952380952380953,12.857142857142858,1.4285714285714286,79.52380952380952,40.95238095238095,79.04761904761905,95.47619047619048,41.42857142857143,20.952380952380953,63.333333333333336,38.095238095238095,80,90,90,81.42857142857143,74.76190476190476,80.47619047619048,89.04761904761905,86.19047619047619,59.04761904761905,62.38095238095238,80,80.47619047619048,20,83.80952380952381,86.66666666666667,83.33333333333333,46.19047619047619,80,80.47619047619048,40,20,70.95238095238095,90,72.85714285714286,20,40,39.523809523809526,20.47619047619047,80,19.52380952380953,40,89.52380952380952,20,4.523809523809524,26.19047619047619,38.095238095238095,40,17.142857142857142,0,88.0952380952381,80,14.285714285714286,64.28571428571429,19.047619047619047,19.047619047619047
nurse,80,9.761904761904765,19.52380952380953,91.66666666666669,20,90.47619047619048,20,50.476190476190474,8.571428571428571,84.61904761904762,30.952380952380953,9.047619047619047,1.1904761904761905,89.52380952380952,82.85714285714286,37.142857142857146,94.76190476190476,65.71428571428571,80,70.47619047619048,20,80,90,93.0952380952381,58.095238095238095,80,80,84.28571428571429,90,89.04761904761905,70,39.523809523809526,92.71428571428572,55.23809523809524,93.8095238095238,89.76190476190476,40,73.80952380952381,79.04761904761905,91.1904761904762,30,20,80,78.57142857142857,80,24.285714285714285,20,86.9047619047619,25.238095238095237,80.47619047619048,16.666666666666668,80,90.23809523809524,70.47619047619048,20,77.61904761904762,89.85714285714286,90,20,0,94.28571428571428,39.04761904761905,9.761904761904765,20.47619047619047,0.7142857142857143,5
writer,89.14285714285714,64.28571428571429,71.42857142857143,65.71428571428571,15.238095238095235,80,69.52380952380952,80,20,40,40,69.52380952380952,17.142857142857142,70,80,90,70.95238095238095,40,40,21.904761904761905,80,80,68.57142857142857,62.38095238095238,80,70.95238095238095,73.33333333333333,40,52.38095238095238,40,39.523809523809526,80,80,70,67.61904761904762,80.47619047619048,83.28571428571429,69.04761904761905,80,40,80,63.80952380952381,71.9047619047619,76.66666666666667,80,20,80,82.14285714285714,70.95238095238095,68.57142857142857,32.857142857142854,40,40,38.57142857142857,19.52380952380953,76.19047619047619,20.47619047619047,40,80,36.19047619047619,80,89.52380952380952,20,56.666666666666664,41.904761904761905,69.38095238095238
telemarketer,20,71.71428571428571,10.952380952380953,11.428571428571429,80,20,78.76190476190476,80.23809523809524,67.04761904761905,70.95238095238095,9.761904761904765,45.23809523809524,78.57142857142857,7.857142857142857,9.523809523809524,20,10.476190476190476,20,18.095238095238095,74,20,0,20,12.38095238095238,73.80952380952381,20,51.42857142857143,20,20,7.619047619047619,20,18.571428571428573,10.952380952380953,78.47619047619048,10.476190476190476,20,20,20,12.857142857142858,5,10,69.52380952380952,80.23809523809524,20,10,20,20,20,12.857142857142858,19.52380952380953,16.19047619047619,17.61904761904762,20,20,10.476190476190476,1.1904761904761905,40.95238095238095,20,20,67.61904761904762,20,20,69.23809523809524,79.19047619047619,80,67.57142857142857
clown,20,20,1.4285714285714286,76.19047619047619,80.80952380952381,20,20,20,80,88.33333333333333,99.61904761904762,79.52380952380952,20,20.47619047619047,20,87.23809523809524,56.666666666666664,20,20,11.428571428571429,86.52380952380952,0,20,20,20,80.47619047619048,39.04761904761905,19.52380952380953,85.0952380952381,70,72.85714285714286,80.71428571428571,40.95238095238095,25.714285714285715,20,16.19047619047619,80,80,0,62.38095238095238,45.23809523809524,80.47619047619048,70.47619047619048,15.238095238095235,24.285714285714285,0,13.80952380952381,80,69.04761904761905,15.714285714285714,80.47619047619048,92.71428571428572,56.666666666666664,20,18.571428571428573,0,84.28571428571429,79.52380952380952,30,20,21.904761904761905,83.80952380952381,1.1904761904761905,0,20,40.476190476190474
fireman,60,20,5.238095238095238,83.57142857142857,75.23809523809524,80,20,37.61904761904762,10,91.42857142857144,20,10.714285714285714,1.4285714285714286,20,20,20.47619047619047,91.9047619047619,92.38095238095238,94.76190476190476,20,20,20,80,90.71428571428572,80,75.71428571428571,86.76190476190476,80,81.66666666666667,80,12.142857142857142,20,79.52380952380952,68.57142857142857,89.76190476190476,51.42857142857143,40.95238095238095,80,20,90,21.904761904761905,62.38095238095238,80,75.23809523809524,43.333333333333336,79.04761904761905,19.047619047619047,83.19047619047619,80,21.428571428571427,13.80952380952381,80,88.66666666666667,79.52380952380952,85.19047619047619,9.285714285714286,39.523809523809526,50.95238095238095,20,0,90.47619047619048,21.428571428571427,10.952380952380953,9.285714285714286,0.9523809523809524,8.333333333333334
pianist,84.57142857142857,44.285714285714285,79.52380952380952,70,37.142857142857146,80.47619047619048,20,25.714285714285715,12.857142857142858,40.95238095238095,20,20,0.9523809523809524,79.52380952380952,79.52380952380952,89.14285714285714,47.142857142857146,20.952380952380953,20,20,42.857142857142854,79.52380952380952,80,76.19047619047619,80,76.66666666666667,80,70.47619047619048,62.38095238095238,39.04761904761905,37.61904761904762,52.857142857142854,64.28571428571429,39.04761904761905,71.9047619047619,81.76190476190476,80,68.0952380952381,79.52380952380952,40,44.76190476190476,20.47619047619047,69.04761904761905,78.57142857142857,70,26.19047619047619,79.52380952380952,81.76190476190476,20,70,46.19047619047619,40,57.142857142857146,39.04761904761905,18.095238095238095,71.9047619047619,24.285714285714285,40,76.19047619047619,8.80952380952381,81.42857142857143,80,19.52380952380953,69.38095238095238,20,37.61904761904762
doctor,95.28571428571428,60.80952380952381,69.04761904761905,82.14285714285714,14.285714285714286,90,27.61904761904762,80,7.142857142857143,80.47619047619048,20,10.476190476190476,4.761904761904762,79.52380952380952,54.285714285714285,35.23809523809524,93.38095238095238,80,80,37.61904761904762,20,58.57142857142857,90,92.61904761904762,90,63.80952380952381,86.66666666666667,83.0952380952381,80,80,9.761904761904765,40,86.19047619047619,40,91.1904761904762,90,75.71428571428571,71.9047619047619,69.04761904761905,89.76190476190476,39.04761904761905,20,79.04761904761905,90,70.95238095238095,40,20,80,29.52380952380953,80,20.952380952380953,43.80952380952381,85.71428571428571,40,20.47619047619047,20,43.80952380952381,71.9047619047619,20,1.1904761904761905,91.66666666666669,40,17.61904761904762,22.38095238095238,18.571428571428573,40
hippy,38.57142857142857,20,5.714285714285714,80,53.333333333333336,20,20.47619047619047,20,70,49.04761904761905,70,80,20,80,80,84.76190476190476,70.95238095238095,20,40,13.80952380952381,91.8095238095238,20,20,20,20,72.85714285714286,30.47619047619047,19.52380952380953,80.47619047619048,80,80,39.523809523809526,80,30.47619047619047,34.285714285714285,20,80,79.52380952380952,20,80,80.47619047619048,80,70,20,85.66666666666667,0,20,81.66666666666667,80.95238095238095,20,35.23809523809524,80,80,27.61904761904762,10.476190476190476,20,80,80,77.14285714285714,73.80952380952381,20,80.95238095238095,3.8095238095238098,18.571428571428573,20,16.19047619047619
construction worker,21.428571428571427,39.523809523809526,5.238095238095238,20,80,29.047619047619047,70.95238095238095,20,45.23809523809524,90,22.857142857142858,62.38095238095238,35.714285714285715,19.52380952380953,20,20,46.666666666666664,89.85714285714286,80,20,20,10.952380952380953,37.61904761904762,69.52380952380952,55.23809523809524,20,80,59.523809523809526,33.333333333333336,20,19.047619047619047,20,20,77.61904761904762,40,20,28.095238095238095,20,20,20,20,67.61904761904762,42.38095238095238,20.47619047619047,20,80,20,75.71428571428571,40,20,9.761904761904765,40,68.0952380952381,24.761904761904763,80.23809523809524,9.761904761904765,20,20,37.61904761904762,19.52380952380953,87,20,67.0952380952381,35.714285714285715,20,9.285714285714286
gardener,38.095238095238095,10,14.761904761904765,79.04761904761905,20,80,20,20,20,80,20,36.19047619047619,5.9523809523809526,77.14285714285714,40,64.76190476190476,79.52380952380952,60,20.47619047619047,20,26.666666666666668,70,80,80,26.666666666666668,52.38095238095238,40,61.42857142857143,79.52380952380952,55.714285714285715,65.71428571428571,20,68.57142857142857,40,80,80,40.95238095238095,20.952380952380953,70,70,39.523809523809526,20,43.333333333333336,40,64.28571428571429,62.857142857142854,68.57142857142857,80,21.428571428571427,74.28571428571429,17.61904761904762,69.04761904761905,80,20,40.95238095238095,40,20,70.95238095238095,20,20,80,40.95238095238095,20,69.85714285714286,19.52380952380953,5.9523809523809526
aerobics instructor,47.61904761904762,48.095238095238095,9.285714285714286,80,80,77.61904761904762,20,73.80952380952381,20,95,58.095238095238095,18.095238095238095,5.476190476190476,70,67.61904761904762,79.52380952380952,82.38095238095238,80.23809523809524,40,79.71428571428571,60.95238095238095,10.952380952380953,82.61904761904762,80,80,80,86.38095238095238,80.23809523809524,83.57142857142857,66.66666666666667,45.23809523809524,69.52380952380952,78.0952380952381,38.095238095238095,79.52380952380952,71.42857142857143,70.95238095238095,81.19047619047619,20,69.52380952380952,40,75.71428571428571,80.47619047619048,40,70.95238095238095,13.80952380952381,10.476190476190476,87.61904761904762,80,20.47619047619047,69.52380952380952,80,80.95238095238095,81.42857142857143,80,10.238095238095235,84.61904761904762,80,20,0,88.57142857142857,67.14285714285714,10,14.285714285714286,20,69.38095238095238
sixteen year old,60,66.0952380952381,42.857142857142854,40,78.0952380952381,20,75.23809523809524,20,79.52380952380952,80,63.333333333333336,80,36.19047619047619,20,41.904761904761905,75.23809523809524,36.666666666666664,39.04761904761905,40,67.66666666666667,46.19047619047619,20,20,20,59.04761904761905,43.333333333333336,40,20,59.04761904761905,20,80,38.57142857142857,32.857142857142854,80,28.571428571428573,20,65.71428571428571,21.904761904761905,20,20,40,80,42.857142857142854,20,79.04761904761905,10.476190476190476,20,80,79.52380952380952,20,20,20,35.714285714285715,60,33.80952380952381,65.23809523809524,80,40,80,69.23809523809524,40,79.52380952380952,49.523809523809526,37.61904761904762,69.57142857142857,69.14285714285714
politician,40,79.52380952380952,20,20,74.76190476190476,20,80,85.23809523809524,67.57142857142857,80,20,68.14285714285714,69.95238095238095,20,20,20.47619047619047,20,70.95238095238095,20,80,20,19.52380952380953,41.904761904761905,20,88.19047619047619,39.523809523809526,82.38095238095238,20,20,20,20,42.857142857142854,20,80,20,20,38.095238095238095,80,20,20,20,75.23809523809524,80,20,35.714285714285715,46.666666666666664,14.285714285714286,80,23.333333333333332,20,70.19047619047619,39.523809523809526,20,24.285714285714285,20,5.238095238095238,87.85714285714286,20,63.333333333333336,68.95238095238095,40,30,68.80952380952381,69.66666666666667,77.47619047619048,78.57142857142857
